timestep,avg_ep_rew
1130.0,-249.29118471501056
2216.0,-221.8127720422426
3264.0,-284.9828240212627
4370.0,-226.70732111280273
5485.0,-262.84661937200343
6608.0,-255.41451977121568
7649.0,-278.93183477758305
8691.0,-238.71237066766096
9773.0,-202.47554952432498
10819.0,-242.18984425682203
11942.0,-227.3254928859134
13045.0,-229.82604159575627
14093.0,-154.6526128326671
15141.0,-205.51582055542903
16258.0,-194.4126743396137
17347.0,-154.13258344459922
18479.0,-231.32170000548143
19533.0,-192.31931990104914
20606.0,-201.90570905656946
21648.0,-235.01625469766864
22751.0,-190.98007270562186
23900.0,-189.39876722993205
25015.0,-240.85788598813429
26045.0,-188.1504186419248
27128.0,-175.92039209154913
28198.0,-164.57597094869232
29333.0,-222.35802144623634
30363.0,-216.79475619121246
31404.0,-140.38984375465782
32514.0,-155.78517042684481
33567.0,-101.323264291376
34613.0,-181.60089133545117
35778.0,-141.1150727356983
36865.0,-194.89388349417243
37898.0,-131.92211009462255
39023.0,-199.73015221859475
40063.0,-157.36312081414917
41227.0,-186.00566084265128
42307.0,-200.17847985600264
43347.0,-160.7541747118617
44399.0,-189.36454024298635
45425.0,-222.0159150237935
46509.0,-157.99411671405738
47572.0,-160.94299098883783
48656.0,-135.38965287259796
49800.0,-184.300792637443
50855.0,-218.06247594888458
51946.0,-181.66575146514876
53043.0,-167.3242817368526
54094.0,-164.5818425228293
55171.0,-160.72051998744655
56209.0,-141.74372903398856
57306.0,-165.0791459053407
58363.0,-150.49552658053042
59445.0,-215.542542500218
60511.0,-216.98380087737578
61561.0,-188.30120514776388
62655.0,-126.35374851361512
63768.0,-124.29727706112196
64805.0,-161.69525589837338
65857.0,-140.87538205047875
66988.0,-169.4834286679927
68044.0,-103.55455310763193
69108.0,-175.39025243130752
70191.0,-137.99304098986954
71254.0,-199.96699875869174
72285.0,-152.19155680862227
73391.0,-137.69687843099098
74540.0,-151.39528382037864
75630.0,-133.58478741175352
76659.0,-166.92044905918476
78671.0,-138.9692034551942
79708.0,-213.08551558888087
80783.0,-128.62846391121786
81844.0,-141.26274503619786
82882.0,-136.26455448940237
84024.0,-130.43912108208042
85122.0,-175.16959230622663
86230.0,-162.56772330415302
87332.0,-133.11113520075475
88433.0,-139.89256324509262
89502.0,-134.32622620549148
90563.0,-122.11944020028612
91699.0,-116.57056225958767
92829.0,-154.60755633728297
93941.0,-125.45532982751241
94983.0,-135.56030076937355
96064.0,-177.38859758747347
97232.0,-123.89963776030544
98369.0,-175.6138687014725
99417.0,-157.15134801737491
100507.0,-163.88276700339418
101545.0,-129.2538362025446
102590.0,-147.12479701276897
103643.0,-85.12655755220003
104740.0,-157.14155909591332
105829.0,-143.62744562996897
106903.0,-124.92833537125694
107928.0,-136.68969068962792
108975.0,-125.77382150238682
110062.0,-147.49995215660178
111183.0,-126.39146245451958
112294.0,-136.7526496908796
113377.0,-123.25022265194075
114471.0,-121.40864729829867
115554.0,-147.18011906199365
116627.0,-127.50719086512221
117724.0,-140.6937860772591
118774.0,-128.44772957446142
119887.0,-95.61277559490219
121013.0,-109.84782720557685
122125.0,-139.13572340050823
123163.0,-95.3093009090767
124274.0,-113.87298665746158
125354.0,-169.46584368828928
126472.0,-130.9241477440463
127522.0,-151.9826632267156
128600.0,-136.6769820274246
129683.0,-128.4382636185322
130797.0,-98.51103212942917
131863.0,-127.79479561848471
132995.0,-146.15696163150352
134076.0,-137.19831284460022
135152.0,-113.80271688219197
136262.0,-138.56610062595962
137290.0,-122.24154350791218
138366.0,-104.30925502283772
139442.0,-104.48364639986374
140589.0,-121.45971095877835
141624.0,-148.98987677385404
142675.0,-136.19076464679486
143704.0,-139.26967382783977
144791.0,-126.51102996653185
145868.0,-123.35202414225328
146922.0,-100.01144302527702
148009.0,-126.34660761422201
149079.0,-96.40053987878298
150201.0,-129.74318154232202
151296.0,-135.88065040676798
152400.0,-105.61788601817476
153427.0,-126.3129805463025
154581.0,-119.5734460580358
155669.0,-111.03880542973046
156761.0,-93.41383063673958
157839.0,-102.73728883062815
158907.0,-120.36160968294595
159984.0,-87.21684538296348
161027.0,-142.9766662328634
162092.0,-146.4973202688516
163155.0,-99.23094391771865
164188.0,-106.63212702395712
165286.0,-116.8474238962395
166412.0,-105.50511163396742
167450.0,-110.82085393944742
168530.0,-143.039201851579
169560.0,-111.93812098234939
170669.0,-122.46787171458858
171763.0,-99.47324556274707
172794.0,-132.44183735989185
173870.0,-125.90678198509192
174961.0,-107.17612034567142
176039.0,-116.41968036886347
177086.0,-136.08070156756926
178173.0,-105.96282440310074
179260.0,-114.07810668874112
180308.0,-162.81882697444857
181356.0,-132.53578590660592
182470.0,-135.23042000130235
183516.0,-118.18670800779229
184597.0,-112.10768496341592
185630.0,-167.08292153660983
186673.0,-105.63044827948478
187758.0,-112.33254940809537
188867.0,-101.07257933003643
189919.0,-96.00179647298881
191035.0,-100.0353956459071
192113.0,-102.62814721426693
193252.0,-121.11323271883266
194276.0,-87.49257103650838
195339.0,-113.46075169651705
196420.0,-95.43256767077109
197519.0,-103.46344449453036
198597.0,-109.27735750433408
199664.0,-127.6444157852463
200727.0,-105.92669234405612
201780.0,-79.80543072460304
202806.0,-81.53141951297009
203910.0,-124.68328707145359
205038.0,-110.75685583623293
206118.0,-121.40415725294649
207240.0,-119.72989013946993
208329.0,-126.12698951460858
209395.0,-90.61528945068943
210447.0,-97.82568232462123
211520.0,-98.92449925791534
212570.0,-108.90839532398884
213632.0,-113.6819798967893
214707.0,-99.12888066002319
215804.0,-96.63117254705931
216894.0,-126.80167343904124
217958.0,-113.08950623374511
219024.0,-102.6700029108989
220094.0,-94.46934849343573
221165.0,-85.8527273177204
222211.0,-106.26098399282768
223255.0,-120.86424013400035
224288.0,-121.17104703260252
225369.0,-100.7346660174193
226413.0,-89.1849514080334
227502.0,-120.27884116458361
228604.0,-139.3894647442067
229723.0,-116.10670925362125
230775.0,-146.82068522495695
231834.0,-133.74351482214612
232941.0,-100.9859034843658
234019.0,-125.19514823832952
235075.0,-126.17671805036034
236195.0,-90.28644427448477
237236.0,-102.55670612034717
238326.0,-116.05429774434555
239375.0,-110.42275913957715
240413.0,-145.84659027985356
241461.0,-130.24347897334272
242536.0,-106.77941628837375
243574.0,-92.05367658999516
244615.0,-78.06360757147729
245661.0,-116.03818592383023
246767.0,-87.30186437735286
247891.0,-91.87844319846191
248936.0,-93.76768689897403
249975.0,-124.25168237472865
251032.0,-88.48052544160586
252117.0,-84.36694046192304
253202.0,-103.33526863605677
254349.0,-131.3988338178756
255483.0,-121.07802869770249
256528.0,-106.64308337895356
257611.0,-85.8931235268451
258644.0,-96.87816084248757
260651.0,-101.4167461694642
261721.0,-92.27091689597188
262774.0,-111.84543338731851
263858.0,-120.7348689740955
264894.0,-118.90819655560279
266000.0,-85.90458997223396
267051.0,-113.1017232271202
268118.0,-84.12927917915935
269288.0,-112.5095214201328
270412.0,-112.84655279808497
271524.0,-83.4205149443931
272610.0,-100.30763023711256
273640.0,-102.06108481100047
274713.0,-96.77123825586632
275798.0,-106.79010768625766
276945.0,-135.01418633201044
277971.0,-107.16510297534887
279096.0,-108.47776778759561
280161.0,-110.30065830358171
281217.0,-87.73730994564549
282302.0,-85.2870655634678
283346.0,-97.43130561854917
284396.0,-82.52265903975847
285429.0,-101.75234940209317
286550.0,-104.6068347317778
287620.0,-98.51491833459117
288711.0,-90.88146378111966
289789.0,-87.13281546029859
290908.0,-108.84759766571005
291969.0,-91.95830775033004
293055.0,-95.06541906102198
294093.0,-103.97000598270233
295137.0,-92.38149661327841
296251.0,-88.98992175118106
297281.0,-101.71470400971012
298333.0,-98.9313789162926
299383.0,-104.66306437687088
300493.0,-98.11226722353963
301600.0,-111.56799218120813
302684.0,-95.81613257773141
303769.0,-100.80882134942561
304821.0,-111.44017674827172
305890.0,-105.46032147307392
307021.0,-98.89637673636842
308120.0,-87.72522759584915
309172.0,-89.31376149389807
310225.0,-98.65926412697905
311360.0,-81.35931424314381
312409.0,-111.30434575574735
313503.0,-101.19444962447177
314573.0,-96.7093334122489
315604.0,-101.34447757304096
316643.0,-101.80901693971101
317716.0,-96.55721452661464
318856.0,-98.29239852285619
319905.0,-88.52004469598516
320950.0,-116.64387287251138
321992.0,-99.11244142980215
323031.0,-94.9193305909216
324101.0,-104.35384985840884
325193.0,-99.49777618190507
326308.0,-91.36423786376841
327449.0,-125.15967397479035
328630.0,-87.46571775882205
329655.0,-80.54061460811158
330689.0,-102.47853695240765
331759.0,-75.07845820509222
332861.0,-85.8705014519986
333959.0,-83.99678807728917
335005.0,-102.39847700054352
336058.0,-90.83551588499536
337112.0,-91.82869416253615
338227.0,-105.58922898716386
339256.0,-91.09819537218766
340325.0,-80.58094673496987
341350.0,-135.28705716201466
342487.0,-82.21600363770216
343528.0,-88.79561950496839
344662.0,-101.3936223534022
345730.0,-94.15146917755172
346813.0,-100.18625675055713
347870.0,-105.74284613073078
348972.0,-76.89527980901413
350004.0,-77.96418948002378
351133.0,-82.23382042645774
352248.0,-88.41178921300994
353302.0,-89.6121301944092
355028.0,-97.84516883422631
356059.0,-108.9894820648081
357129.0,-70.36016382866696
358227.0,-102.19356646897745
359307.0,-104.25430971532656
360382.0,-73.1126512389177
361422.0,-91.72481245993143
362523.0,-92.53774652763747
363627.0,-116.02330481367366
364652.0,-77.58097082523508
365703.0,-62.21174247633619
366799.0,-81.2199821577811
367863.0,-90.55918334876547
368899.0,-94.74462613542639
370016.0,-81.77781783330131
371123.0,-90.20394997504512
372157.0,-75.6551209760533
373246.0,-81.29335657737782
374404.0,-39.18731395867001
375493.0,-70.15970161160045
376611.0,-81.68861594244127
377692.0,-78.35850344285727
378974.0,-109.36681831641407
380005.0,-69.71136060007754
381032.0,-70.51881785625385
382119.0,-82.13501479066149
383250.0,-74.37767147064602
384380.0,-71.1500119900283
385481.0,-98.05511613044783
386610.0,-93.52660451908903
387718.0,-75.61874721205747
388826.0,-65.42586589153767
389921.0,-71.3257245785113
391037.0,-66.07977342476934
392165.0,-92.7037332808357
393266.0,-87.10408653045194
394385.0,-72.80668196625939
395474.0,-92.76584076121368
396546.0,-80.08176327625767
397611.0,-72.58556873897857
398636.0,-84.7918757782933
399664.0,-82.24672424146051
400714.0,-73.18659802927966
401756.0,-79.56947680113527
402811.0,-78.9016355425263
403904.0,-108.90763598224936
404994.0,-73.69546545572706
406120.0,-64.74673820507168
407175.0,-68.84063029486559
408238.0,-68.1079968071195
409321.0,-78.94467778887852
410410.0,-77.34268549058916
411525.0,-66.55660504904864
412561.0,-65.05015243996107
413601.0,-72.70386062012236
414715.0,-86.57882428365295
415845.0,-76.83105170262485
417593.0,-54.99670498194223
418629.0,-68.658282050667
419776.0,-54.24837976634433
420891.0,-88.50235221105083
421975.0,-62.30604292767863
423051.0,-77.3260866041932
424147.0,-72.64619103289549
425222.0,-55.748731781067804
426919.0,-41.505375607032036
428568.0,-28.065538209953342
429610.0,-57.35593707446709
430721.0,-106.1428961605222
431837.0,-106.2590709223767
432954.0,-84.33169111715988
434052.0,-66.31811364001838
435108.0,-80.3910829490864
436227.0,-71.53166053792812
437627.0,-42.90900947117154
438655.0,-62.14161953833533
439754.0,-60.12055868359302
440825.0,-80.00013649280635
441920.0,-74.30342202969972
442979.0,-71.88485236334073
444003.0,-49.52149497479448
445031.0,-88.81061909824612
446119.0,-89.74481525296162
447240.0,-11.570875074594237
448821.0,-11.02550131537438
449944.0,-69.9047413882353
450995.0,-52.489855522107895
452120.0,-62.44483756127397
453184.0,-48.92921904563795
454227.0,-59.98335200396078
455278.0,-56.68175693098196
456314.0,-42.08178327739619
458050.0,-57.51332359321178
459124.0,-53.32945431483399
460242.0,-43.493600306057125
461376.0,-49.0784537433769
462449.0,-77.19426640706287
463553.0,-44.35241886599096
464587.0,-62.68474663041674
465668.0,-43.76359298458855
466709.0,-70.13732887928835
467885.0,-58.666166894109224
468969.0,-105.33412693614922
470019.0,-71.3622506482196
471093.0,-60.16607948065008
472192.0,-62.68327110216337
473264.0,-52.70865205453011
474381.0,-36.873517058611476
475449.0,-86.54072687473975
476567.0,-42.263812526395526
477617.0,-57.85223885637728
478715.0,-56.17754175293724
479813.0,-94.16772621364903
480874.0,-48.29518225217453
481963.0,-46.491209447638724
482992.0,-26.17130318982872
484725.0,-82.85320432912019
485859.0,-53.96834256827494
486929.0,-20.733496158199564
488026.0,-34.03418643442247
489214.0,-69.97992033478732
490291.0,-60.15103767288198
491410.0,-56.64657561575875
492458.0,-69.8983212789223
493580.0,-71.93715629072639
494700.0,-68.61246276616342
495778.0,-30.634738879406566
496842.0,-52.27082101072028
497879.0,-50.98472595496537
498917.0,-30.563497262679263
500082.0,-37.60374016035453
501162.0,-44.41684132544735
502446.0,-45.059194238113236
503502.0,-23.984017753330924
504643.0,-38.35503516067026
505693.0,-33.87443269854515
506811.0,-94.07921003960843
507915.0,-69.56123647310545
509066.0,-39.411657429237906
510240.0,-110.4446716499662
511301.0,-45.472051907142955
512401.0,-48.49071617304355
513439.0,-72.05607545564395
514486.0,-51.17588881814959
515523.0,-50.00490655544205
516637.0,-12.843814843033764
517753.0,-39.18902904362673
518785.0,-21.90445689927552
519842.0,-40.10376452154302
520897.0,-48.57016527533932
521977.0,-53.555539201307454
523126.0,-49.56436035792797
524314.0,-31.624692263177224
525470.0,-27.251623622676856
526501.0,-47.541824746924256
527633.0,-54.47287707929268
528707.0,-33.71896445174218
529747.0,-14.373629124231586
531044.0,-6.221606077989468
532919.0,-58.61483266386688
534006.0,-14.860732791456538
535082.0,-49.3014214011059
536108.0,-54.58647585846082
537189.0,-61.750872630751026
538249.0,-45.55209463394686
539394.0,-28.04476197402561
541137.0,-28.171540586373407
542168.0,-132.4971154318932
543241.0,-79.36924603996758
544386.0,-63.93393087939364
545480.0,-13.835444930918765
546637.0,-46.01366832417117
547675.0,-16.424787140738175
548728.0,-24.010076460282935
549768.0,-2.925672430521754
550893.0,-30.06917171182215
552046.0,-51.856767258287746
553232.0,-17.863774553892554
554334.0,-123.86173235747144
555450.0,-36.82679742608977
556482.0,-49.899177715771366
557634.0,-30.230161562683033
558714.0,-3.074846631332094
559769.0,-47.61434304463509
560893.0,-13.309240559814809
562080.0,-35.3212921542259
563140.0,-42.97378203952628
564795.0,-31.409247459576072
565914.0,-39.33912179310806
567018.0,-8.216569088247986
568131.0,8.261047996652332
569285.0,-36.54117302232714
570327.0,-23.69722010224088
571478.0,-16.67084133595895
572647.0,-101.02150375141792
573762.0,-24.422752550157973
574901.0,-15.450144800538006
576130.0,-58.672067471744995
577276.0,-35.90266533413853
578420.0,-115.91991390833826
579612.0,-13.242318811498729
580691.0,-24.857977464919824
581821.0,-20.94295119320035
582916.0,-28.64676683647148
584060.0,-23.30131555977129
585122.0,-14.922455694892667
586295.0,7.456691840753837
587391.0,-12.81658242384603
589072.0,-31.808714128572216
590268.0,-63.68184414752607
591522.0,-72.66104629425902
592548.0,-5.168266088910494
593677.0,-5.337941270216296
594746.0,-94.30983970027384
595796.0,-36.74298362287928
597084.0,-13.350474296433433
598205.0,-39.019132572695604
599630.0,-139.16795539240954
600752.0,-38.55291499992572
601803.0,-61.692537731685825
602904.0,-115.08971907497902
604005.0,-94.09951658583486
605377.0,-32.113474370230776
606416.0,-6.605040219478163
607589.0,-38.98728884022911
608700.0,-99.66677631936876
610027.0,-178.36033072929072
611122.0,-85.97717670177133
612690.0,-30.627431344651438
613764.0,-39.48631570800223
614911.0,-143.2677319742758
616600.0,-106.8642829154614
617775.0,-11.334323059627476
619022.0,-62.03053945399165
620216.0,-141.9686333224072
621739.0,-68.87788425759013
623192.0,-104.83752606183796
624288.0,-9.36682665940507
625466.0,-33.9107571107605
626629.0,-36.2589970959979
627730.0,-29.05315794761692
629262.0,-59.63851351541681
630318.0,-12.09223490306563
631360.0,-84.3620200987957
632493.0,-30.798033370431913
633644.0,-48.30631924137933
634695.0,-111.6555683623412
635819.0,-3.953185794428168
637506.0,-58.5026201538185
638759.0,-43.90669296775908
639836.0,-20.743151933484565
641645.0,-46.93634060131444
642674.0,-29.59976769678857
643792.0,-35.694120167413466
644930.0,-57.23015488145485
646176.0,-22.520275029022066
647790.0,-45.14057177879336
648836.0,6.056101633418476
650131.0,-45.52984248228608
651172.0,-18.822732918332115
652247.0,-32.207348964842446
653401.0,-18.27980742122378
654865.0,18.57510904571423
655997.0,-52.568335424188994
657380.0,-21.572719850864814
658415.0,-26.614911426546172
659799.0,-39.23650625260338
660845.0,6.717459050754779
662723.0,-4.2552755582805
663770.0,0.8529511237881281
664924.0,2.1304686527477408
666247.0,-49.17831701252743
667384.0,12.157680725188747
668883.0,-50.8521127534592
670012.0,0.5545842464892532
671237.0,-114.97166521277116
672617.0,-64.8124402141683
673792.0,-5.105685628328256
674829.0,-65.20251476409031
676024.0,-74.81920527602445
677748.0,-67.04158350414662
678858.0,-3.401999547292892
680258.0,-72.31388951200604
681784.0,-28.3144076968336
682859.0,-2.809817320493082
683918.0,-72.67043521535503
685213.0,-9.191890645634665
686598.0,1.5075331960499847
687647.0,-22.655789793925813
688790.0,-18.882681555426736
689873.0,-4.868699743733995
690901.0,-43.45603408245345
691967.0,-13.402068069877684
693286.0,-111.44616251596017
695138.0,-35.68122410788505
696338.0,-88.14548522107275
697419.0,-16.99388603652262
698985.0,-10.479027361772449
700053.0,-47.52668333294664
701661.0,-117.07802430041102
702737.0,-82.11432100763163
703848.0,-4.673871274898629
705333.0,-21.592977334076064
706420.0,-0.07150748295520781
707516.0,-30.03831406849983
708570.0,11.349149089576892
709882.0,-76.76153740497655
711052.0,-30.04327124349822
712136.0,-55.24114703405791
713226.0,10.974652161351681
714302.0,2.1227792873365354
715404.0,0.6501674308673463
716952.0,-24.71941559426685
718083.0,-16.489959334408375
719214.0,8.132289594760246
720347.0,-9.005199194539506
721429.0,7.325290911787338
722597.0,-17.6019492411546
723687.0,-23.146321902055824
724793.0,-4.451758892037253
726776.0,-25.851428144347103
727896.0,-7.85550258881136
729057.0,6.437667733697343
730435.0,-25.791288142571073
731547.0,-11.02574852459709
732635.0,2.336906021851797
733734.0,-21.280130339079584
734781.0,-0.4173232916187688
735856.0,-15.243184347502186
736921.0,-11.493462330576527
738221.0,-4.462938615324307
739341.0,-12.892403937262063
740423.0,-26.785063007414404
741542.0,-5.250968804144284
742675.0,-45.51804513927132
744153.0,-28.635916644784952
745266.0,-54.94251038271366
746293.0,-37.04292766701595
747340.0,-77.72432004719106
748526.0,-71.77319684307955
750049.0,-11.597728587297885
751306.0,12.76559659094695
752462.0,-11.504469780884207
753770.0,-39.21862288944885
755175.0,-31.74345260335147
756277.0,-13.786143574910005
757586.0,-44.760393765213806
758766.0,-52.609549752389206
759894.0,7.0752767198658795
761727.0,-71.91386754610974
762834.0,-65.8626260106705
764136.0,-87.78723439174367
765261.0,-12.697698944259415
767005.0,-37.099465904958095
768256.0,-70.15455684709437
769601.0,-62.37780502334305
770720.0,-26.319506425357932
771839.0,0.3945283322176114
773785.0,-22.54264711798505
775062.0,-24.018675856313124
776844.0,4.171962530610041
778012.0,-12.385030009537813
779187.0,-41.586441676188564
780293.0,-123.41324909413134
781361.0,13.461343854915393
782446.0,-10.490243980661711
783538.0,2.4757534590318624
784577.0,-7.427565158793278
785602.0,11.911286917314424
786693.0,-56.15227364232672
787891.0,-22.00981084932523
789038.0,-65.77821105239784
790140.0,0.9532303886256415
791217.0,-41.14542376214805
792285.0,-2.1206998156992753
793310.0,2.2824054862047745
795002.0,-2.5019021698962
796095.0,-31.973351599981477
797237.0,-0.4185954485972232
798693.0,-30.98123387763316
799766.0,-1.6660157135402898
800829.0,-78.85951894236644
801932.0,-121.59528931290498
802975.0,-10.419455867517323
804516.0,-10.273523402293923
805918.0,-58.68505409822236
807044.0,14.6355322691466
808154.0,6.610422695419231
809435.0,-59.88793600766985
810849.0,-103.69426945775677
811915.0,-24.086461997204644
812973.0,7.089180303717112
814852.0,-60.066938219822866
816322.0,-66.62880807091389
817851.0,-24.40855119657367
819282.0,-253.53026534766434
820375.0,26.600694302914768
821455.0,-70.85485146426862
822642.0,-49.66546775972412
823906.0,-35.23038966819898
824942.0,-6.167989143279799
826014.0,-45.35671492527532
827336.0,-67.03219915435005
828597.0,-64.56172167477831
830411.0,0.5488273578552203
832292.0,11.408301441625838
833621.0,-70.1433618691076
835037.0,-82.3500101392473
836281.0,4.754714438481692
837712.0,-93.95717814019143
838757.0,-32.164243400977504
839800.0,13.86897758760294
840837.0,-184.138734582208
842018.0,6.271854896919891
843264.0,-86.14017277854514
845109.0,7.980259000915841
846197.0,-8.864868318966426
847362.0,-32.860615588072044
848716.0,-43.970325885875745
850198.0,-15.221898773476097
851259.0,-21.688905678909222
852621.0,-27.41546561312227
853720.0,-46.03721667440833
854821.0,-1.5062206195231778
856408.0,-98.13149945081463
857563.0,-12.573917022367661
859058.0,-38.12056500964593
861058.0,-30.834530014341574
862234.0,-83.4777698794657
863392.0,-24.2574612465844
864512.0,2.0053876773396464
865731.0,14.461153388942364
866822.0,-64.40820404965334
868330.0,0.15179704062850874
869992.0,-5.155340476498085
871168.0,-24.775031708937185
872678.0,-17.82103186189721
873783.0,3.6852773044940266
874924.0,-19.170869502321047
876114.0,13.099330152791607
877454.0,46.81715395770053
878479.0,-4.433167206807499
879594.0,26.261236428588674
880657.0,-2.7826887754205525
881769.0,8.484590413618687
883102.0,-176.1208805251944
884197.0,-79.45838598545791
885434.0,-174.01182520984787
886548.0,17.75780003068153
887656.0,-22.96602623080462
889208.0,-34.31273022471902
890240.0,0.4347837787008011
891851.0,-43.88435071994175
893539.0,-21.273557274608983
894689.0,5.131926255498338
895819.0,-6.041519948104806
897062.0,-44.002688324020234
898110.0,-18.248446186540836
899395.0,-12.470007041571733
900552.0,4.087191118976163
902400.0,6.38475976240231
903798.0,-45.66462922162301
905256.0,-18.113872680254165
906450.0,-121.84339934541418
907504.0,11.770553429689471
908586.0,3.919041530267087
909637.0,-34.633480333313315
910691.0,-3.3146498342059765
912574.0,5.581219354998929
913631.0,6.618114432194036
914760.0,3.377696859129423
916229.0,-53.463353332582265
917287.0,-3.336733566108646
918334.0,-35.33308938612304
919955.0,-25.286077867749704
921080.0,-15.906871354722092
922183.0,-26.79147615885421
923630.0,9.17493344232403
925316.0,14.209745250855205
927102.0,-40.17921135770045
928873.0,-20.39325184374006
930050.0,-78.45225274696563
931374.0,-6.874883830003391
932632.0,-31.492800442457614
934601.0,-27.882046415561767
935724.0,-3.0475858343260214
936999.0,9.463284341656985
938048.0,-56.90524744048175
939842.0,-54.12349974826827
940935.0,-16.96646047556077
941995.0,-109.61863913844164
943153.0,-0.8945282053546189
944711.0,-18.035385557765824
945827.0,-5.788131842692479
946923.0,-1.4397992913674929
948031.0,0.7207594041291622
949178.0,-39.60615249108188
950290.0,-1.197655243289951
951914.0,-114.76162839477973
953427.0,-51.19124862510859
954525.0,5.125126113651675
955730.0,-34.8816703974015
957139.0,-5.34608035060656
958251.0,15.005773567045878
959412.0,-8.015085388158822
960499.0,-28.873464148959407
961645.0,-2.7923967009888253
962782.0,2.457301192060455
964230.0,13.63915195905557
965395.0,-51.667647540447895
966642.0,22.0673452838783
967840.0,-4.006320241034427
969114.0,0.9167417442182048
970285.0,-113.22691078772715
972020.0,-19.507723478215357
973353.0,-8.149793647914906
974645.0,-2.2822082078254247
976667.0,-101.34852906936104
978553.0,13.912421484163275
979733.0,-15.568218655318937
981597.0,-41.71343968043841
982717.0,-5.283125733424289
983860.0,-62.89046299509656
985170.0,-45.096790950290355
986503.0,-28.171113200855224
988114.0,-75.20403300649542
989281.0,-23.490377047382594
990379.0,-45.212478428587474
991497.0,-22.488797809397237
992874.0,-16.653396468219583
993995.0,-18.584617091332305
995070.0,8.389827053437106
996151.0,8.3526083531486
997761.0,-25.809920804914704
998805.0,-5.689788932261923
999994.0,-5.263070388853681
1001636.0,14.958632715665976
1003005.0,-22.409549538868504
1004216.0,15.723048713830062
1005274.0,-27.247873094653848
1006393.0,-85.07535308784796
1007467.0,-1.132508764480204
1009416.0,-1.4259790585438994
1011437.0,7.2205622587772025
1012953.0,-4.063314849175365
1014079.0,-22.08350102751057
1015116.0,2.1515479098783516
1016722.0,-65.93478511506484
1017869.0,-15.750639665233829
1019038.0,37.35052833714993
1021033.0,-9.069096203689456
1022152.0,-7.026996923574485
1023540.0,-58.16692504224268
1024797.0,-16.54228031772359
1026797.0,-20.34655081585668
1028170.0,-18.944459413685006
1030172.0,2.17286324717143
1031326.0,17.30003795322979
1032500.0,25.23606347798364
1033858.0,14.260498320275243
1035127.0,15.632010252793762
1036244.0,-100.86086287932127
1037278.0,-68.63610836913261
1039195.0,-41.6253840948001
1040301.0,2.161389246574983
1041382.0,-44.1264141223328
1042643.0,-30.23882571454147
1044012.0,3.76986216034287
1045304.0,12.280796259846333
